Congressional District,state,Congressional District ID,Total Properties,FEMA Properties at Risk 2020 (total),FEMA Properties at Risk 2020 (pct),FS Properties at Risk 2020 (total),FS Properties at Risk 2020 (pct),FS Properties at Risk 2035 (total),FS Properties at Risk 2035 (pct),FS Properties at Risk 2050 (total),FS Properties at Risk 2050 (pct),"FS-FEMA Difference, 2020 (total)","FS-FEMA Difference, 2020 (pct)"
Congressional District 1,ky,2101,458518,23376,5.1,40377,8.8,40906,8.9,41435,9,17001,72.7
Congressional District 2,ky,2102,349699,17303,4.9,27170,7.8,27799,7.9,28428,8.1,9867,57
Congressional District 3,ky,2103,276231,9977,3.6,20293,7.3,21182,7.7,22070,8,10316,103.4
Congressional District 4,ky,2104,290171,11959,4.1,31559,10.9,32048,11,32538,11.2,19600,163.9
Congressional District 5,ky,2105,312801,26272,8.4,82901,26.5,83564,26.7,84228,26.9,56629,215.5
Congressional District 6,ky,2106,299379,7920,2.6,24703,8.3,25162,8.4,25620,8.6,16783,211.9
Congressional District 1,tn,4701,403089,12088,3,61792,15.3,62720,15.6,63648,15.8,49704,411.2
Congressional District 2,tn,4702,356919,7414,2.1,43267,12.1,43861,12.3,44455,12.5,35853,483.6
Congressional District 3,tn,4703,379409,12510,3.3,72012,19,72692,19.2,73372,19.3,59502,475.6
Congressional District 4,tn,4704,373975,12880,3.4,43603,11.7,44234,11.8,44865,12,30723,238.5
Congressional District 5,tn,4705,300087,8609,2.9,29987,10,30487,10.2,30987,10.3,21378,248.3
Congressional District 6,tn,4706,425183,7812,1.8,43154,10.1,43695,10.3,44236,10.4,35342,452.4
Congressional District 7,tn,4707,418590,18956,4.5,49347,11.8,49922,11.9,50496,12.1,30391,160.3
Congressional District 8,tn,4708,364809,17239,4.7,24027,6.6,24364,6.7,24702,6.8,6788,39.4
Congressional District 9,tn,4709,257995,3855,1.5,15987,6.2,17425,6.8,18863,7.3,12132,314.7
Congressional District 1,wv,5401,450582,34965,7.8,91969,20.4,92544,20.5,93120,20.7,57004,163
Congressional District 2,wv,5402,407397,39869,9.8,105594,25.9,106266,26.1,106937,26.2,65725,164.9
Congressional District 3,wv,5403,481526,59394,12.3,129076,26.8,130261,27.1,131446,27.3,69682,117.3
Congressional District 1,mi,2601,570654,15197,2.7,44338,7.8,44882,7.9,45425,8,29141,191.8
Congressional District 2,mi,2602,355528,6362,1.8,27466,7.7,27848,7.8,28229,7.9,21104,331.7
Congressional District 3,mi,2603,301380,6418,2.1,25247,8.4,25576,8.5,25906,8.6,18829,293.4
Congressional District 4,mi,2604,398926,9493,2.4,31795,8,32098,8,32402,8.1,22302,234.9
Congressional District 5,mi,2605,319496,14493,4.5,16070,5,16248,5.1,16425,5.1,1577,10.9
Congressional District 6,mi,2606,371893,8350,2.2,27322,7.3,27864,7.5,28405,7.6,18972,227.2
Congressional District 7,mi,2607,338868,15967,4.7,25280,7.5,25801,7.6,26322,7.8,9313,58.3
Congressional District 8,mi,2608,288367,8044,2.8,14959,5.2,15227,5.3,15495,5.4,6915,86
Congressional District 9,mi,2609,286183,1720,0.6,18816,6.6,19878,6.9,20941,7.3,17096,994
Congressional District 10,mi,2610,307635,15406,5,21133,6.9,21813,7.1,22493,7.3,5727,37.2
Congressional District 11,mi,2611,276678,3834,1.4,12206,4.4,12478,4.5,12749,4.6,8372,218.4
Congressional District 12,mi,2612,253285,14014,5.5,16774,6.6,17418,6.9,18061,7.1,2760,19.7
Congressional District 13,mi,2613,347370,3026,0.9,15363,4.4,16134,4.6,16906,4.9,12337,407.7
Congressional District 14,mi,2614,313037,1741,0.6,18799,6,19367,6.2,19935,6.4,17058,979.8
Delegate District (at Large),mi,6698,36,24,66.7,0,0,0,0,0,0,-24,-100
Congressional District 1,co,801,231462,1933,0.8,6347,2.7,6504,2.8,6661,2.9,4414,228.3
Congressional District 2,co,802,383700,8651,2.3,30874,8,31354,8.2,31833,8.3,22223,256.9
Congressional District 3,co,803,379778,7939,2.1,31435,8.3,31862,8.4,32288,8.5,23496,296
Congressional District 4,co,804,390413,12517,3.2,24099,6.2,24244,6.2,24389,6.2,11582,92.5
Congressional District 5,co,805,357304,6711,1.9,25686,7.2,25666,7.2,25645,7.2,18975,282.7
Congressional District 6,co,806,280038,1396,0.5,5067,1.8,5187,1.9,5307,1.9,3671,263
Congressional District 7,co,807,273542,4185,1.5,7737,2.8,8022,2.9,8307,3,3552,84.9
Congressional District 1,in,1801,350625,13192,3.8,27706,7.9,28934,8.3,30162,8.6,14514,110
Congressional District 2,in,1802,389040,13523,3.5,37808,9.7,38571,9.9,39334,10.1,24285,179.6
Congressional District 3,in,1803,406093,19823,4.9,26784,6.6,27279,6.7,27774,6.8,6961,35.1
Congressional District 4,in,1804,416270,15500,3.7,39343,9.5,39994,9.6,40644,9.8,23843,153.8
Congressional District 5,in,1805,363091,15149,4.2,21653,6,22202,6.1,22752,6.3,6504,42.9
Congressional District 6,in,1806,418182,21637,5.2,31498,7.5,32199,7.7,32900,7.9,9861,45.6
Congressional District 7,in,1807,272954,10686,3.9,14118,5.2,14408,5.3,14699,5.4,3432,32.1
Congressional District 8,in,1808,486108,36744,7.6,49556,10.2,50580,10.4,51603,10.6,12812,34.9
Congressional District 9,in,1809,405280,22723,5.6,34080,8.4,34618,8.5,35157,8.7,11357,50
Congressional District 1,mn,2701,384441,10565,2.7,33441,8.7,33548,8.7,33656,8.8,22876,216.5
Congressional District 2,mn,2702,269146,4374,1.6,20394,7.6,20536,7.6,20678,7.7,16020,366.3
Congressional District 3,mn,2703,243949,4533,1.9,15514,6.4,15612,6.4,15711,6.4,10981,242.2
Congressional District 4,mn,2704,217888,2507,1.2,11685,5.4,11784,5.4,11884,5.5,9178,366.1
Congressional District 5,mn,2705,193016,1251,0.6,12211,6.3,12324,6.4,12438,6.4,10960,876.1
Congressional District 6,mn,2706,307387,10981,3.6,21843,7.1,22066,7.2,22289,7.3,10862,98.9
Congressional District 7,mn,2707,562673,21886,3.9,49212,8.7,49692,8.8,50172,8.9,27326,124.9
Congressional District 8,mn,2708,767426,20734,2.7,51295,6.7,51792,6.7,52290,6.8,30561,147.4
Congressional District 1,il,1701,238081,4096,1.7,22283,9.4,23202,9.7,24121,10.1,18187,444
Congressional District 2,il,1702,290848,11681,4,30654,10.5,31420,10.8,32186,11.1,18973,162.4
Congressional District 3,il,1703,234917,3342,1.4,28462,12.1,29514,12.6,30565,13,25120,751.6
Congressional District 4,il,1704,146352,1914,1.3,23620,16.1,24800,16.9,25980,17.8,21706,1134.1
Congressional District 5,il,1705,175386,2295,1.3,19928,11.4,20338,11.6,20747,11.8,17633,768.3
Congressional District 6,il,1706,249599,6927,2.8,19885,8,20379,8.2,20873,8.4,12958,187.1
Congressional District 7,il,1707,166308,1934,1.2,15004,9,15608,9.4,16212,9.7,13070,675.8
Congressional District 8,il,1708,187508,2962,1.6,11407,6.1,11816,6.3,12225,6.5,8445,285.1
Congressional District 9,il,1709,177992,2358,1.3,17226,9.7,17828,10,18429,10.4,14868,630.5
Congressional District 10,il,1710,221392,10141,4.6,10886,4.9,11160,5,11435,5.2,745,7.3
Congressional District 11,il,1711,222504,6499,2.9,14928,6.7,15212,6.8,15497,7,8429,129.7
Congressional District 12,il,1712,442920,36659,8.3,41953,9.5,42836,9.7,43718,9.9,5294,14.4
Congressional District 13,il,1713,354040,7631,2.2,22292,6.3,22670,6.4,23048,6.5,14661,192.1
Congressional District 14,il,1714,328520,14833,4.5,20869,6.4,21166,6.4,21464,6.5,6036,40.7
Congressional District 15,il,1715,516571,35200,6.8,49383,9.6,49972,9.7,50561,9.8,14183,40.3
Congressional District 16,il,1716,394947,20112,5.1,37392,9.5,37848,9.6,38303,9.7,17280,85.9
Congressional District 17,il,1717,393279,18908,4.8,34864,8.9,35135,8.9,35406,9,15956,84.4
Congressional District 18,il,1718,422575,18217,4.3,30657,7.3,30840,7.3,31023,7.3,12440,68.3
Congressional District 1,ar,501,534332,71179,13.3,59450,11.1,60177,11.3,60904,11.4,-11729,-16.5
Congressional District 2,ar,502,411543,25367,6.2,37227,9,37682,9.2,38138,9.3,11860,46.8
Congressional District 3,ar,503,418956,13062,3.1,25263,6,25448,6.1,25634,6.1,12201,93.4
Congressional District 4,ar,504,536689,43296,8.1,69670,13,69976,13,70281,13.1,26374,60.9
Congressional District 1,mo,2901,288038,5235,1.8,18024,6.3,18476,6.4,18928,6.6,12789,244.3
Congressional District 2,mo,2902,282036,5171,1.8,18706,6.6,19110,6.8,19515,6.9,13535,261.7
Congressional District 3,mo,2903,434706,25723,5.9,48074,11.1,48603,11.2,49132,11.3,22351,86.9
Congressional District 4,mo,2904,462241,18585,4,46280,10,46444,10,46609,10.1,27695,149
Congressional District 5,mo,2905,341301,8285,2.4,21254,6.2,21279,6.2,21304,6.2,12969,156.5
Congressional District 6,mo,2906,446089,30679,6.9,40930,9.2,41004,9.2,41079,9.2,10251,33.4
Congressional District 7,mo,2907,407860,13211,3.2,29471,7.2,29700,7.3,29930,7.3,16260,123.1
Congressional District 8,mo,2908,504602,51039,10.1,57500,11.4,58202,11.5,58903,11.7,6461,12.7
Congressional District 1,ia,1901,533489,37471,7,65107,12.2,65341,12.2,65575,12.3,27636,73.8
Congressional District 2,ia,1902,571785,39122,6.8,63716,11.1,63774,11.2,63831,11.2,24594,62.9
Congressional District 3,ia,1903,538765,31156,5.8,58886,10.9,58801,10.9,58716,10.9,27730,89
Congressional District 4,ia,1904,778997,44974,5.8,106314,13.6,106080,13.6,105845,13.6,61340,136.4
Congressional District 1,az,401,481478,27535,5.7,44896,9.3,45073,9.4,45250,9.4,17361,63.1
Congressional District 2,az,402,370500,25984,7,23428,6.3,23459,6.3,23490,6.3,-2556,-9.8
Congressional District 3,az,403,319298,19371,6.1,12709,4,12866,4,13023,4.1,-6662,-34.4
Congressional District 4,az,404,633095,31861,5,37634,5.9,38066,6,38497,6.1,5773,18.1
Congressional District 5,az,405,326010,1496,0.5,0,0,0,0,0,0,-1496,-100
Congressional District 6,az,406,314337,13823,4.4,0,0,0,0,93,0,-13823,-100
Congressional District 7,az,407,205602,4022,2,0,0,0,0,53,0,-4022,-100
Congressional District 8,az,408,334319,2985,0.9,0,0,0,0,169,0.1,-2985,-100
Congressional District 9,az,409,235693,2414,1,0,0,0,0,11,0,-2414,-100
Congressional District 1,ut,4901,374010,8100,2.2,30705,8.2,31698,8.5,32690,8.7,22605,279.1
Congressional District 2,ut,4902,393750,6676,1.7,36199,9.2,37566,9.5,38934,9.9,29523,442.2
Congressional District 3,ut,4903,297218,4007,1.3,26654,9,27617,9.3,28580,9.6,22647,565.2
Congressional District 4,ut,4904,283397,2992,1.1,19503,6.9,20093,7.1,20683,7.3,16511,551.8
Congressional District 1,nv,3201,173387,171,0.1,0,0,0,0,0,0,-171,-100
Congressional District 2,nv,3202,357965,13752,3.8,28151,7.9,29150,8.1,30149,8.4,14399,104.7
Congressional District 3,nv,3203,335296,997,0.3,3179,0.9,3381,1,3583,1.1,2182,218.9
Congressional District 4,nv,3204,342715,26381,7.7,13267,3.9,13437,3.9,13607,4,-13114,-49.7
Congressional District 1,ok,4001,349812,14247,4.1,30327,8.7,30488,8.7,30650,8.8,16080,112.9
Congressional District 2,ok,4002,553405,35240,6.4,47444,8.6,46704,8.4,45964,8.3,12204,34.6
Congressional District 3,ok,4003,563681,27934,5,46575,8.3,46402,8.2,46228,8.2,18641,66.7
Congressional District 4,ok,4004,410470,20454,5,25728,6.3,25459,6.2,25190,6.1,5274,25.8
Congressional District 5,ok,4005,339407,9520,2.8,18795,5.5,18490,5.4,18184,5.4,9275,97.4
Congressional District 1,ne,3101,323665,27875,8.6,34189,10.6,34364,10.6,34538,10.7,6314,22.7
Congressional District 2,ne,3102,242349,8237,3.4,12964,5.3,12974,5.4,12983,5.4,4727,57.4
Congressional District 3,ne,3103,564302,38254,6.8,55287,9.8,54952,9.7,54618,9.7,17033,44.5
Congressional District (at Large),sd,4600,637767,24944,3.9,62585,9.8,62781,9.8,62977,9.9,37641,150.9
Congressional District (at Large),nd,3800,622576,30277,4.9,56396,9.1,57061,9.2,57726,9.3,26119,86.3
Congressional District 1,nm,3501,305613,10419,3.4,9956,3.3,9920,3.2,9883,3.2,-463,-4.4
Congressional District 2,nm,3502,714516,70829,9.9,84740,11.9,85106,11.9,85471,12,13911,19.6
Congressional District 3,nm,3503,478722,16973,3.5,34070,7.1,34206,7.1,34343,7.2,17097,100.7
Congressional District (at Large),wy,5600,335963,8287,2.5,35235,10.5,36240,10.8,37245,11.1,26948,325.2
Congressional District (at Large),mt,3000,860879,29841,3.5,122579,14.2,125434,14.6,128289,14.9,92738,310.8
Congressional District 1,oh,3901,358386,9881,2.8,24603,6.9,25610,7.1,26617,7.4,14722,149
Congressional District 2,oh,3902,422898,19858,4.7,44800,10.6,45750,10.8,46699,11,24942,125.6
Congressional District 3,oh,3903,251173,5323,2.1,8749,3.5,9442,3.8,10136,4,3426,64.4
Congressional District 4,oh,3904,422048,14349,3.4,32627,7.7,33472,7.9,34316,8.1,18278,127.4
Congressional District 5,oh,3905,413867,18011,4.4,38001,9.2,38860,9.4,39718,9.6,19990,111
Congressional District 6,oh,3906,602027,50330,8.4,116061,19.3,117180,19.5,118300,19.7,65731,130.6
Congressional District 7,oh,3907,439522,14432,3.3,38008,8.6,38939,8.9,39870,9.1,23576,163.4
Congressional District 8,oh,3908,345674,9993,2.9,22646,6.6,23670,6.8,24695,7.1,12653,126.6
Congressional District 9,oh,3909,349592,20658,5.9,15786,4.5,16674,4.8,17563,5,-4872,-23.6
Congressional District 10,oh,3910,363041,8841,2.4,21643,6,22873,6.3,24103,6.6,12802,144.8
Congressional District 11,oh,3911,314414,1477,0.5,11766,3.7,12596,4,13426,4.3,10289,696.6
Congressional District 12,oh,3912,365417,8399,2.3,24191,6.6,24816,6.8,25442,7,15792,188
Congressional District 13,oh,3913,413864,5577,1.3,17510,4.2,18064,4.4,18617,4.5,11933,214
Congressional District 14,oh,3914,372855,6917,1.9,20211,5.4,20786,5.6,21362,5.7,13294,192.2
Congressional District 15,oh,3915,384479,20382,5.3,41955,10.9,42665,11.1,43375,11.3,21573,105.8
Congressional District 16,oh,3916,326009,5457,1.7,14455,4.4,14950,4.6,15444,4.7,8998,164.9
Congressional District 1,wi,5501,294501,6587,2.2,17251,5.9,17769,6,18287,6.2,10664,161.9
Congressional District 2,wi,5502,349999,12127,3.5,33208,9.5,33694,9.6,34179,9.8,21081,173.8
Congressional District 3,wi,5503,555426,31782,5.7,76189,13.7,76757,13.8,77325,13.9,44407,139.7
Congressional District 4,wi,5504,185500,988,0.5,9260,5,9547,5.1,9834,5.3,8272,837.2
Congressional District 5,wi,5505,276448,10655,3.9,15893,5.7,16297,5.9,16701,6,5238,49.2
Congressional District 6,wi,5506,412816,25055,6.1,30529,7.4,31064,7.5,31599,7.7,5474,21.8
Congressional District 7,wi,5507,834685,33928,4.1,64145,7.7,64683,7.7,65221,7.8,30217,89.1
Congressional District 8,wi,5508,464744,22886,4.9,26902,5.8,27419,5.9,27936,6,4016,17.5
Congressional District 1,ks,2001,525508,31125,5.9,53541,10.2,53426,10.2,53311,10.1,22416,72
Congressional District 2,ks,2002,411284,26755,6.5,31211,7.6,31479,7.7,31747,7.7,4456,16.7
Congressional District 3,ks,2003,319428,4678,1.5,20138,6.3,20270,6.3,20403,6.4,15460,330.5
Congressional District 4,ks,2004,383057,16897,4.4,28551,7.5,28870,7.5,29189,7.6,11654,69
Congressional District 1,id,1601,514935,21819,4.2,78567,15.3,80934,15.7,83302,16.2,56748,260.1
Congressional District 2,id,1602,489536,16228,3.3,69860,14.3,73238,15,76617,15.7,53632,330.5
Delegate District (at Large),dc,1198,136756,1358,1,7311,5.3,7633,5.6,7955,5.8,5953,438.4
Congressional District (at Large),de,1000,423019,28921,6.8,39663,9.4,43832,10.4,48002,11.3,10742,37.1
Congressional District 1,ct,901,180207,5104,2.8,17116,9.5,17766,9.9,18415,10.2,12012,235.3
Congressional District 2,ct,902,278978,18404,6.6,24203,8.7,25234,9,26266,9.4,5799,31.5
Congressional District 3,ct,903,210064,15432,7.3,20818,9.9,22682,10.8,24547,11.7,5386,34.9
Congressional District 4,ct,904,197941,15419,7.8,26436,13.4,27662,14,28889,14.6,11017,71.5
Congressional District 5,ct,905,193268,6010,3.1,18086,9.4,18482,9.6,18877,9.8,12076,200.9
Congressional District 1,me,2301,333015,14125,4.2,23039,6.9,24268,7.3,25497,7.7,8914,63.1
Congressional District 2,me,2302,327737,15327,4.7,32613,10,33497,10.2,34381,10.5,17286,112.8
Congressional District 1,ma,2501,294066,7718,2.6,28816,9.8,29482,10,30147,10.3,21098,273.4
Congressional District 2,ma,2502,262503,5100,1.9,21993,8.4,22558,8.6,23123,8.8,16893,331.2
Congressional District 3,ma,2503,221491,6068,2.7,22781,10.3,23419,10.6,24057,10.9,16713,275.4
Congressional District 4,ma,2504,236747,9139,3.9,16518,7,17122,7.2,17725,7.5,7379,80.7
Congressional District 5,ma,2505,197416,8276,4.2,21033,10.7,22237,11.3,23441,11.9,12757,154.1
Congressional District 6,ma,2506,238879,16883,7.1,22047,9.2,23094,9.7,24140,10.1,5164,30.6
Congressional District 7,ma,2507,112561,2365,2.1,10838,9.6,12664,11.3,14491,12.9,8473,358.3
Congressional District 8,ma,2508,216854,15412,7.1,20063,9.3,21319,9.8,22575,10.4,4651,30.2
Congressional District 9,ma,2509,379122,46143,12.2,29172,7.7,32424,8.6,35675,9.4,-16971,-36.8
Congressional District 1,sc,4501,350091,115732,33.1,97617,27.9,109382,31.2,121147,34.6,-18115,-15.7
Congressional District 2,sc,4502,340987,7409,2.2,18924,5.5,19639,5.8,20354,6,11515,155.4
Congressional District 3,sc,4503,403820,3881,1,21351,5.3,21904,5.4,22457,5.6,17470,450.1
Congressional District 4,sc,4504,324245,3894,1.2,21110,6.5,21694,6.7,22278,6.9,17216,442.1
Congressional District 5,sc,4505,376839,7546,2,20052,5.3,20696,5.5,21340,5.7,12506,165.7
Congressional District 6,sc,4506,375718,28434,7.6,36470,9.7,40272,10.7,44075,11.7,8036,28.3
Congressional District 7,sc,4507,389611,29969,7.7,55970,14.4,60599,15.6,65228,16.7,26001,86.8
Congressional District 1,ms,2801,457119,29054,6.4,41451,9.1,42123,9.2,42795,9.4,12397,42.7
Congressional District 2,ms,2802,463656,69611,15,53250,11.5,54454,11.7,55659,12,-16361,-23.5
Congressional District 3,ms,2803,486463,36854,7.6,46481,9.6,47437,9.8,48393,9.9,9627,26.1
Congressional District 4,ms,2804,475220,114197,24,114473,24.1,124174,26.1,133875,28.2,276,0.2
Congressional District 1,al,101,427610,46795,10.9,64080,15,68217,16,72354,16.9,17285,36.9
Congressional District 2,al,102,440303,21423,4.9,33254,7.6,34048,7.7,34843,7.9,11831,55.2
Congressional District 3,al,103,468438,27974,6,52976,11.3,54294,11.6,55613,11.9,25002,89.4
Congressional District 4,al,104,503120,19698,3.9,55839,11.1,56522,11.2,57204,11.4,36141,183.5
Congressional District 5,al,105,372064,19078,5.1,43224,11.6,43848,11.8,44473,12,24146,126.6
Congressional District 6,al,106,357535,10993,3.1,37709,10.5,38626,10.8,39543,11.1,26716,243
Congressional District 7,al,107,428687,41927,9.8,47837,11.2,49744,11.6,51652,12,5910,14.1
Congressional District 1,la,2201,316095,124096,39.3,119831,37.9,177434,56.1,235037,74.4,-4265,-3.4
Congressional District 2,la,2202,330987,76506,23.1,89407,27,159493,48.2,229579,69.4,12901,16.9
Congressional District 3,la,2203,441495,128540,29.1,117591,26.6,146041,33.1,174491,39.5,-10949,-8.5
Congressional District 4,la,2204,416263,49426,11.9,45070,10.8,46009,11.1,46948,11.3,-4356,-8.8
Congressional District 5,la,2205,414656,64032,15.4,44452,10.7,45780,11,47109,11.4,-19580,-30.6
Congressional District 6,la,2206,342845,118099,34.4,60714,17.7,68658,20,76601,22.3,-57385,-48.6
Congressional District 3,tx,4003,2,0,0,0,0,0,0,0,0,0,
Congressional District 1,tx,4801,417350,13965,3.3,24625,5.9,24938,6,25252,6.1,10660,76.3
Congressional District 2,tx,4802,256309,16708,6.5,19263,7.5,20322,7.9,21381,8.3,2555,15.3
Congressional District 3,tx,4803,280986,3461,1.2,7401,2.6,7462,2.7,7523,2.7,3940,113.8
Congressional District 4,tx,4804,494349,19897,4,27764,5.6,27929,5.6,28094,5.7,7867,39.5
Congressional District 5,tx,4805,373345,14106,3.8,20025,5.4,20203,5.4,20381,5.5,5919,42
Congressional District 6,tx,4806,285451,8481,3,12291,4.3,12431,4.4,12571,4.4,3810,44.9
Congressional District 7,tx,4807,189046,21156,11.2,21260,11.2,22162,11.7,23065,12.2,104,0.5
Congressional District 8,tx,4808,445800,32967,7.4,34099,7.6,35087,7.9,36075,8.1,1132,3.4
Congressional District 9,tx,4809,189432,24097,12.7,42287,22.3,43240,22.8,44194,23.3,18190,75.5
Congressional District 10,tx,4810,368932,19892,5.4,23891,6.5,24700,6.7,25510,6.9,3999,20.1
Congressional District 11,tx,4811,479536,33089,6.9,53263,11.1,53858,11.2,54454,11.4,20174,61
Congressional District 12,tx,4812,295459,12964,4.4,17785,6,18098,6.1,18410,6.2,4821,37.2
Congressional District 13,tx,4813,419294,14309,3.4,26909,6.4,26936,6.4,26962,6.4,12600,88.1
Congressional District 14,tx,4814,391874,116000,29.6,142784,36.4,194480,49.6,246176,62.8,26784,23.1
Congressional District 15,tx,4815,305506,25117,8.2,58543,19.2,59376,19.4,60208,19.7,33426,133.1
Congressional District 16,tx,4816,298313,11051,3.7,10236,3.4,10158,3.4,10081,3.4,-815,-7.4
Congressional District 17,tx,4817,326724,12090,3.7,18005,5.5,18338,5.6,18670,5.7,5915,48.9
Congressional District 18,tx,4818,244748,28683,11.7,29975,12.2,31352,12.8,32729,13.4,1292,4.5
Congressional District 19,tx,4819,402200,32134,8,32488,8.1,32857,8.2,33226,8.3,354,1.1
Congressional District 20,tx,4820,218458,4778,2.2,8485,3.9,8759,4,9033,4.1,3707,77.6
